,CPU,GHz,GPU,RAM,RAMType,Screen,Storage,SSD,Weight,Price
57,i7,2.7,nvidia,8,ddr3,15.6,250,True,2.8,738
58,i7,2.7,nvidia,8,ddr3,15.6,250,True,2.8,790
59,i7,2.8,nvidia,8,ddr3,15.6,250,True,2.8,780
60,i5,2.4,intel,8,ddr4,14.0,128,True,1.36,590
61,i5,1.6,intel,8,ddr3,13.3,128,True,1.4,611
62,i5,1.6,intel,8,ddr3,13.3,128,True,1.4,569
63,i5,2.3,amd,8,ddr3,15.6,180,True,1.8,548
64,i5,2.3,intel,8,ddr3,15.6,180,True,1.8,527
65,i5,2.4,intel,8,ddr4,12.5,128,True,1.3,442
66,i3,2.3,intel,4,ddr3,13.3,128,True,1.5,295
67,i3,2.3,intel,4,ddr4,13.3,128,True,1.5,316
68,i3,2.3,intel,8,ddr4,13.3,128,True,1.5,305
69,i3,2.0,intel,8,ddr3,13.3,256,True,1.8,263
70,a10,1.8,amd,4,ddr3,14.0,128,True,1.5,253
71,a10,1.8,amd,4,ddr3,12.5,128,True,1.26,232
72,i7,2.9,nvidia,16,ddr3,17.3,128,True,3.4,843
73,i5,2.3,amd,8,ddr4,15.6,256,True,1.9,632
74,i5,2.3,amd,8,ddr4,15.6,256,True,1.9,558
75,i5,2.3,intel,8,ddr3,12.5,128,True,1.4,316
76,i5,2.4,intel,8,ddr4,14.0,240,True,1.36,464
77,i5,2.2,intel,4,ddr3,14.0,128,True,1.6,358
78,i5,2.3,intel,8,ddr3,14.0,256,True,1.44,379
79,i5,2.3,intel,8,ddr3,14.0,256,True,1.44,432
80,i5,2.3,intel,8,ddr4,14.0,128,True,1.5,421
81,i5,1.6,intel,8,ddr3,13.3,128,True,1.4,622
82,i5,1.6,intel,8,ddr3,13.3,128,True,1.4,579
83,i5,2.3,intel,8,ddr3,12.5,256,True,1.4,305
84,i5,2.3,intel,8,ddr3,12.5,256,True,1.4,295
85,i5,2.2,intel,8,ddr3,12.5,500,False,1.3,316
86,i7,2.5,nvidia,16,ddr3,15.6,256,True,2.8,780
87,i7,2.6,intel,8,ddr3,13.3,128,True,1.4,748
88,i5,1.4,intel,4,ddr3,11.6,128,True,1.0,442
89,i5,1.4,intel,4,ddr3,11.6,128,True,1.0,442
90,i5,2.3,intel,8,ddr4,14.0,128,True,1.5,400
91,i7,2.1,amd,16,ddr3,14.0,256,True,1.6,727
92,i7,2.1,amd,16,ddr3,14.0,180,True,1.6,695
93,i7,2.1,amd,16,ddr3,14.0,180,True,1.6,611
94,a10,1.8,amd,4,ddr3,12.5,128,True,1.26,211
95,i5,2.3,intel,8,ddr4,14.0,128,True,1.5,442
96,i5,1.6,intel,4,ddr3,13.3,128,True,1.4,548
97,i5,1.6,intel,4,ddr3,13.3,256,True,1.4,622
98,i7,2.4,amd,16,ddr3,14.0,180,True,1.6,716
99,i7,2.4,amd,16,ddr3,14.0,180,True,1.6,653
100,i7,2.4,amd,16,ddr3,14.0,256,True,1.6,780
101,i5,1.8,intel,8,ddr3,11.6,256,True,1.3,263
102,a10,1.8,amd,4,ddr3,14.0,128,True,1.5,253
103,i5,1.9,intel,8,ddr3,12.5,256,True,1.3,400
104,m,1.1,intel,8,ddr3,12.5,256,True,1.2,421
105,i5,2.3,intel,8,ddr4,14.0,128,True,1.5,337
106,i7,2.6,intel,16,ddr3,12.5,256,True,1.3,464
107,i5,1.9,intel,8,ddr3,14.0,256,True,1.7,358
108,i5,1.9,intel,8,ddr3,14.0,256,True,1.7,337
109,i5,2.3,intel,12,ddr3,14.0,180,True,1.6,442
110,i5,2.3,intel,12,ddr3,14.0,256,True,1.6,474
111,i5,2.3,intel,12,ddr3,14.0,180,True,1.6,432
112,i5,2.3,intel,8,ddr3,14.0,180,True,1.6,400
113,i5,2.3,intel,8,ddr3,14.0,180,True,1.6,411
114,i3,2.3,intel,4,ddr3,12.5,128,True,1.4,295
115,i7,2.2,nvidia,16,ddr3,15.6,256,True,1.9,801
116,i7,2.6,nvidia,16,ddr4,15.6,256,True,2.6,896
117,i7,2.8,nvidia,16,ddr3,15.6,250,True,2.8,790
118,i5,2.3,intel,8,ddr4,14.0,128,True,1.5,379
119,i7,2.1,nvidia,8,ddr3,15.6,250,True,2.4,474
120,i5,2.6,intel,8,ddr3,12.5,180,True,1.5,274
121,i3,1.9,intel,4,ddr3,13.3,120,True,1.5,274
122,i7,2.7,nvidia,16,ddr3,15.6,240,True,2.8,716
123,i5,2.3,intel,8,ddr4,12.5,256,True,1.3,442
124,i5,1.6,intel,8,ddr3,13.3,128,True,1.4,579
125,i5,1.6,intel,4,ddr3,11.6,128,True,1.1,485
126,i5,1.3,intel,4,ddr3,13.3,128,True,1.4,485
127,i5,2.3,intel,8,ddr3,14.0,180,True,1.6,442
128,i7,2.4,nvidia,8,ddr3,15.6,256,True,2.5,780
129,i5,1.3,intel,4,ddr3,11.6,128,True,1.0,432
130,i5,1.6,intel,8,ddr3,11.6,128,True,1.1,579
131,i5,1.6,intel,8,ddr3,11.6,128,True,1.1,548
132,i5,1.8,intel,4,ddr3,13.3,128,True,1.4,495
